name,baseline_curtailed_MWh,priority_scenario_curtailed_MWh,difference_MWh,status,shift_factor_on_binding_line
Ardnagappary wind,0.0,195.98693814805097,195.98693814805097,non-priority,-0.2377747915687732
Binbane wind,548.273472103906,0.0,-548.273472103906,priority,-0.2377747915687703
Cathaleen's Fall wind,0.0,564.7194453748241,564.7194453748241,non-priority,-0.237774791568769
Clogher wind,159.63519262420914,0.0,-159.63519262420914,priority,-0.2377747915687683
Corderry wind,0.0,0.0,0.0,priority,0.5794196751055184
Croaghonagh wind,60.57141964115739,0.0,-60.57141964115739,priority,-0.2377747915687682
Drumkeen wind,1415.7617092901141,8.219270088364823,-1407.5424392017494,priority,-0.2377747915687677
Glenree wind,0.0,0.0,0.0,priority,0.57941967510552
Letterkenny wind,642.8942703829465,1.3918060557890755,-641.5024643271574,priority,-0.2377747915687675
Moy wind,0.0,0.0,0.0,non-priority,-0.0042906582332575
Sligo wind,0.0,558.7616440016151,558.7616440016151,non-priority,0.5794196751055197
Sorne Hill wind,102.62560136419745,788.8543586035397,686.2287572393423,non-priority,-0.2377747915687669
Tievebrack wind,0.0,341.89342082738347,341.89342082738347,non-priority,-0.2377747915687706
Trillick wind,142.2147087581421,612.1494910651061,469.93478230696394,non-priority,-0.237774791568767
