name,baseline_curtailed_MWh,priority_scenario_curtailed_MWh,difference_MWh,status,shift_factor_on_binding_line
Ardnagappary wind,0.0,258.3557411661855,258.3557411661855,non-priority,-0.23777479156877326
Binbane wind,474.42436077562957,0.0,-474.42436077562957,priority,-0.23777479156877032
Cathaleen's Fall wind,26.162461324126525,701.0759256299414,674.9134643058148,non-priority,-0.23777479156876904
Clogher wind,246.78668414577228,0.0,-246.78668414577228,priority,-0.23777479156876832
Corderry wind,0.0,0.0,0.0,priority,0.5794196751055184
Croaghonagh wind,94.96388995022588,0.0,-94.96388995022588,priority,-0.2377747915687682
Drumkeen wind,1711.63169046351,25.076200878348644,-1686.5554895851615,priority,-0.2377747915687677
Glenree wind,0.0,0.0,0.0,priority,0.57941967510552
Letterkenny wind,693.8053096481731,0.0,-693.8053096481731,priority,-0.23777479156876757
Moy wind,0.0,0.0,0.0,non-priority,-0.0042906582332575905
Sligo wind,0.0,394.46368950516825,394.46368950516825,non-priority,0.5794196751055197
Sorne Hill wind,129.16953193606986,898.280916350657,769.1113844145871,non-priority,-0.2377747915687669
Tievebrack wind,0.0,474.74655657097566,474.74655657097566,non-priority,-0.23777479156877065
Trillick wind,202.8822147327145,827.8271128749452,624.9448981422307,non-priority,-0.23777479156876702
