name,baseline_curtailed_MWh,priority_scenario_curtailed_MWh,difference_MWh,status
Ardnagappary wind,0.0,234.1180485286418,234.1180485286418,non-priority
Binbane wind,572.7772202888234,0.0,-572.7772202888234,priority
Cathaleen's Fall wind,0.0,788.8575437868476,788.8575437868476,non-priority
Clogher wind,170.0455798745523,0.0,-170.0455798745523,priority
Corderry wind,0.0,0.0,0.0,priority
Croaghonagh wind,23.406176315133536,0.0,-23.406176315133536,priority
Drumkeen wind,1702.9139476722185,36.73270625704555,-1666.181241415173,priority
Glenree wind,0.0,0.0,0.0,priority
Letterkenny wind,871.2957143585146,10.370075483082502,-860.9256388754321,priority
Moy wind,0.0,0.0,0.0,non-priority
Sligo wind,0.0,350.410527781609,350.410527781609,non-priority
Sorne Hill wind,147.22919593699606,923.1235372883007,775.8943413513045,non-priority
Tievebrack wind,0.0,473.6112768266557,473.6112768266557,non-priority
Trillick wind,172.9224383565083,843.3665568505644,670.444118494056,non-priority
