name,baseline_curtailed_MWh,priority_scenario_curtailed_MWh,difference_MWh,status,shift_factor_on_binding_line
Ardnagappary wind,0.0,234.1180485286418,234.1180485286418,non-priority,-0.2377747915687732
Binbane wind,572.7772202888234,0.0,-572.7772202888234,priority,-0.2377747915687703
Cathaleen's Fall wind,0.0,788.8575437868476,788.8575437868476,non-priority,-0.237774791568769
Clogher wind,170.0455798745523,0.0,-170.0455798745523,priority,-0.2377747915687683
Corderry wind,0.0,0.0,0.0,priority,0.5794196751055184
Croaghonagh wind,23.406176315133536,0.0,-23.406176315133536,priority,-0.2377747915687682
Drumkeen wind,1702.9139476722185,36.73270625704555,-1666.181241415173,priority,-0.2377747915687677
Glenree wind,0.0,0.0,0.0,priority,0.57941967510552
Letterkenny wind,871.2957143585146,10.370075483082502,-860.9256388754321,priority,-0.2377747915687675
Moy wind,0.0,0.0,0.0,non-priority,-0.0042906582332575
Sligo wind,0.0,350.410527781609,350.410527781609,non-priority,0.5794196751055197
Sorne Hill wind,147.22919593699606,923.1235372883007,775.8943413513045,non-priority,-0.2377747915687669
Tievebrack wind,0.0,473.6112768266557,473.6112768266557,non-priority,-0.2377747915687706
Trillick wind,172.9224383565083,843.3665568505644,670.444118494056,non-priority,-0.237774791568767
