node_id,node_name,candidate_unit,p_nom_total_MW_nameplate,n_generators_at_bus,carriers_at_bus
1021,ARDNACRUSHA,bus,220.32,8,hydro;load shedding;solar;wind
1061,ARIGNA,bus,23.895,5,load shedding;wind
1081,AHANE,bus,16.64,3,load shedding;solar
1121,ARKLOW,bus,230.23,9,load shedding;solar;wind
11261,ARKLOW_OFF,bus,800.0,1,wind
1131,ATHEA,bus,34.35,1,wind
11310,TOBERTOREEN,bus,23.15,1,wind
1141,ATHLONE,bus,141.49,5,load shedding;solar;unknown;wind
1151,BALLINKNOCKA,bus,50.0,1,solar
1221,ATHY,bus,42.82,2,load shedding;solar
1231,BALLYWATER,bus,42.0,2,wind
1251,BOOLTIAGH,bus,154.219,11,wind
1271,BALTRASNA,bus,43.525,3,load shedding;solar
1281,BALLYLICKEY,bus,87.79,7,load shedding;wind
1301,BALLYBEG,bus,44.465,3,load shedding;solar
1311,CORDAL,bus,147.6,4,wind
1331,BLUNDELSTOWN,bus,74.25,2,load shedding;solar
1341,BINBANE,bus,120.83,18,load shedding;wind
1361,BALLYDINE,bus,32.875,2,load shedding;solar
1381,BARNAHELY,bus,67.41,4,load shedding;solar;wind
1401,BELLACORICK,bus,55.754999999999995,7,load shedding;wind
14010,BELLACORICK,bus,33.9,1,wind
14013,SRAHNAKILLY,bus,172.0,2,wind
14016,CROAGHAUN,bus,50.0,1,wind
1431,BALLYRAGGET,bus,124.75500000000002,4,load shedding;solar;wind
1441,BANDON,bus,125.255,9,load shedding;solar;wind
1461,BARRYMORE,bus,100.41,3,load shedding;solar;wind
14720,NISA BELCAMP,bus,500.0,1,wind
1481,BUTLERSTOWN,bus,109.6,4,load shedding;solar;wind
1491,DEENES,bus,85.0,1,solar
1511,CLOGHBOOLA,bus,100.54899999999999,5,wind
1521,BOGTOWN,bus,56.4,1,wind
1541,BANOGE,bus,21.034999999999997,3,load shedding;solar
1551,BOGGERAGH,bus,169.05,7,wind
1571,ARDNAGAPPARY,bus,39.230000000000004,4,load shedding;wind
1591,CLONFAD,bus,100.0,1,solar
1621,COOLROE,bus,28.345,2,load shedding;solar
1631,CORDERRY,bus,79.60300000000001,12,wind
16410,BALLYMONEEN,bus,100.0,1,solar
1651,CLAHANE,bus,85.6,3,solar;wind
1661,CASTLEBAR,bus,100.735,8,load shedding;wind
1671,KILCUMBER,bus,75.0,1,wind
17010,CATH FALL,bus,106.71000000000001,4,hydro;load shedding;wind
1721,CAHIR,bus,79.58500000000001,5,load shedding;solar
17420,DUBLIN ARRAY,bus,824.0,1,wind
1751,COOMNACLOHY,bus,54.0,2,wind
1821,CLOON,bus,139.24,8,load shedding;solar;unknown;wind
1831,SCREEB,bus,42.1,3,load shedding;wind
