node_id,node_name,candidate_unit,monitored_line,shift_factor_signed,shift_factor_abs,perturbation_MW,reference_convention,scenario,scope
17420,DUBLIN ARRAY,bus,3581-89516-1,-0.0026316160113778637,0.0026316160113778637,10.0,load-weighted,WP2033,all-island
11261,ARKLOW_OFF,bus,3581-89516-1,-0.0016163568062778112,0.0016163568062778112,10.0,load-weighted,WP2033,all-island
14720,NISA BELCAMP,bus,3581-89516-1,-0.0037397329034061823,0.0037397329034061823,10.0,load-weighted,WP2033,all-island
44731,CODLING 1,bus,3581-89516-1,-0.0036968203034740237,0.0036968203034740237,10.0,load-weighted,WP2033,all-island
44733,CODLING 3,bus,3581-89516-1,-0.002801871917523586,0.002801871917523586,10.0,load-weighted,WP2033,all-island
44732,CODLING 2,bus,3581-89516-1,-0.0028018719175276242,0.0028018719175276242,10.0,load-weighted,WP2033,all-island
2742,GREAT ISLAND,bus,3581-89516-1,2.7670689161062023e-06,2.7670689161062023e-06,10.0,load-weighted,WP2033,all-island
39420,SKERD ROCK,bus,3581-89516-1,0.0023718058477134422,0.0023718058477134422,10.0,load-weighted,WP2033,all-island
32060,KNOCKRAHA OF,bus,3581-89516-1,0.0025536226133632094,0.0025536226133632094,10.0,load-weighted,WP2033,all-island
66123,ORIEL OFFSHO,bus,3581-89516-1,-0.009288016019584722,0.009288016019584722,10.0,load-weighted,WP2033,all-island
2111,UGGOOL,bus,3581-89516-1,0.02128185869860366,0.02128185869860366,10.0,load-weighted,WP2033,all-island
14013,SRAHNAKILLY,bus,3581-89516-1,0.06536023271333312,0.06536023271333312,10.0,load-weighted,WP2033,all-island
2791,GALLANSTOWN,bus,3581-89516-1,-0.0008642528293821526,0.0008642528293821526,10.0,load-weighted,WP2033,all-island
1551,BOGGERAGH,bus,3581-89516-1,0.0026330056337449496,0.0026330056337449496,10.0,load-weighted,WP2033,all-island
1121,ARKLOW,bus,3581-89516-1,-0.0016112219698949,0.0016112219698949,10.0,load-weighted,WP2033,all-island
6201,COOMATAGGART,bus,3581-89516-1,0.0025285835804776217,0.0025285835804776217,10.0,load-weighted,WP2033,all-island
5351,TIMONEY,bus,3581-89516-1,0.008309365821692973,0.008309365821692973,10.0,load-weighted,WP2033,all-island
5291,TULLABEG,bus,3581-89516-1,-0.0009811238203341656,0.0009811238203341656,10.0,load-weighted,WP2033,all-island
1251,BOOLTIAGH,bus,3581-89516-1,0.00655000201984347,0.00655000201984347,10.0,load-weighted,WP2033,all-island
1311,CORDAL,bus,3581-89516-1,0.002501837874823578,0.002501837874823578,10.0,load-weighted,WP2033,all-island
3531,LYSAGHTSTOWN,bus,3581-89516-1,0.0026446761859986283,0.0026446761859986283,10.0,load-weighted,WP2033,all-island
2691,GARBALLAGH,bus,3581-89516-1,-7.388075930299734e-05,7.388075930299734e-05,10.0,load-weighted,WP2033,all-island
51911,CROAGHONAGH,bus,3581-89516-1,0.38035446812618534,0.38035446812618534,10.0,load-weighted,WP2033,all-island
18810,BALLYNADRIDE,bus,3581-89516-1,0.003893160154749841,0.003893160154749841,10.0,load-weighted,WP2033,all-island
5274,CAUTEEN,bus,3581-89516-1,0.004356309264029922,0.004356309264029922,10.0,load-weighted,WP2033,all-island
87900,RASHARK1,bus,3581-89516-1,-0.06213930588791648,0.06213930588791648,10.0,load-weighted,WP2033,all-island
3311,KNOCKDRIN,bus,3581-89516-1,0.004471562983884913,0.004471562983884913,10.0,load-weighted,WP2033,all-island
20900,BUFFY,bus,3581-89516-1,0.021281858698683227,0.021281858698683227,10.0,load-weighted,WP2033,all-island
5081,STONESTOWN,bus,3581-89516-1,0.009494180548068634,0.009494180548068634,10.0,load-weighted,WP2033,all-island
3391,KNOCKACUMMER,bus,3581-89516-1,0.0025018378748223984,0.0025018378748223984,10.0,load-weighted,WP2033,all-island
75010,COLE1,bus,3581-89516-1,-0.08011428604834102,0.08011428604834102,10.0,load-weighted,WP2033,all-island
2211,DENNISTOWN,bus,3581-89516-1,-0.00034070334492263335,0.00034070334492263335,10.0,load-weighted,WP2033,all-island
1511,CLOGHBOOLA,bus,3581-89516-1,0.002432638668033487,0.002432638668033487,10.0,load-weighted,WP2033,all-island
16410,BALLYMONEEN,bus,3581-89516-1,0.021281858698601924,0.021281858698601924,10.0,load-weighted,WP2033,all-island
1591,CLONFAD,bus,3581-89516-1,0.009103645799960296,0.009103645799960296,10.0,load-weighted,WP2033,all-island
3511,LICKNY,bus,3581-89516-1,0.014628543046047954,0.014628543046047954,10.0,load-weighted,WP2033,all-island
87510,OMAH1,bus,3581-89516-1,-0.0729784552019279,0.0729784552019279,10.0,load-weighted,WP2033,all-island
4091,MULREAVY,bus,3581-89516-1,0.3802362906094056,0.3802362906094056,10.0,load-weighted,WP2033,all-island
4791,RATHNASKILLO,bus,3581-89516-1,0.0013825775220868246,0.0013825775220868246,10.0,load-weighted,WP2033,all-island
5451,ROSSPILE,bus,3581-89516-1,-5.768024112601591e-05,5.768024112601591e-05,10.0,load-weighted,WP2033,all-island
25610,NEWBARN,bus,3581-89516-1,-0.0037274379589042513,0.0037274379589042513,10.0,load-weighted,WP2033,all-island
90210,TREM,bus,3581-89516-1,-0.06073400734184588,0.06073400734184588,10.0,load-weighted,WP2033,all-island
4671,RAPPAREEHILL,bus,3581-89516-1,0.03778135243280788,0.03778135243280788,10.0,load-weighted,WP2033,all-island
1341,BINBANE,bus,3581-89516-1,0.3606598067865062,0.3606598067865062,10.0,load-weighted,WP2033,all-island
1821,CLOON,bus,3581-89516-1,0.02983116281786073,0.02983116281786073,10.0,load-weighted,WP2033,all-island
