generator,bus,carrier,p_nom,shift_factor_5041-17010-2
Moy wind,Moy,wind,36.0,-0.0042906582332575905
Corderry wind,Corderry,wind,161.603,0.5794196751055184
Clogher wind,Clogher,wind,98.25,-0.23777479156876832
Croaghonagh wind,Croaghonagh,wind,139.2,-0.2377747915687682
Cathaleen's Fall wind,Cathaleen's Fall,wind,55.0,-0.23777479156876904
Binbane wind,Binbane,wind,89.3,-0.23777479156877032
Letterkenny wind,Letterkenny,wind,90.77000000000001,-0.23777479156876757
Drumkeen wind,Drumkeen,wind,84.96,-0.2377747915687677
Glenree wind,Glenree,wind,77.3,0.57941967510552
Sorne Hill wind,Sorne Hill,wind,63.24999999999999,-0.2377747915687669
Sligo wind,Sligo,wind,52.529999999999994,0.5794196751055197
Trillick wind,Trillick,wind,44.69,-0.23777479156876702
Tievebrack wind,Tievebrack,wind,29.9,-0.23777479156877065
Ardnagappary wind,Ardnagappary,wind,22.94,-0.23777479156877326
